hi
2013-02-08 19:24:31,666 INFO:	 processed
2013-02-08 19:24:31,761 INFO:	css requested
2013-02-08 19:24:31,921 INFO:	request for non-existant page: favicon.ico
2013-02-08 19:24:34,376 INFO:	 processed
2013-02-08 19:24:34,410 INFO:	css requested
2013-02-08 19:24:34,518 INFO:	request for non-existant page: favicon.ico
2013-02-08 19:24:34,967 INFO:	 processed
2013-02-08 19:24:34,999 INFO:	css requested
2013-02-08 19:24:35,073 INFO:	request for non-existant page: favicon.ico
2013-02-08 19:24:35,447 INFO:	 processed
2013-02-08 19:24:35,481 INFO:	css requested
2013-02-08 19:24:35,681 INFO:	request for non-existant page: favicon.ico
2013-02-08 19:24:35,988 INFO:	 processed
2013-02-08 19:24:36,023 INFO:	css requested
2013-02-08 19:24:36,095 INFO:	request for non-existant page: favicon.ico
2013-02-08 19:24:36,353 INFO:	 processed
2013-02-08 19:24:36,384 INFO:	css requested
2013-02-08 19:24:36,479 INFO:	request for non-existant page: favicon.ico
2013-02-08 19:24:36,842 INFO:	 processed
2013-02-08 19:24:36,870 INFO:	css requested
2013-02-08 19:24:36,939 INFO:	request for non-existant page: favicon.ico
2013-02-08 19:24:38,707 INFO:	 processed
2013-02-08 19:24:38,747 INFO:	css requested
2013-02-08 19:24:38,829 INFO:	request for non-existant page: favicon.ico
2013-02-08 19:24:39,225 INFO:	 processed
2013-02-08 19:24:39,253 INFO:	css requested
2013-02-08 19:24:39,322 INFO:	request for non-existant page: favicon.ico
2013-02-08 19:24:39,680 INFO:	 processed
2013-02-08 19:24:39,709 INFO:	css requested
2013-02-08 19:24:39,782 INFO:	request for non-existant page: favicon.ico
2013-02-08 19:24:39,975 INFO:	 processed
2013-02-08 19:24:40,005 INFO:	css requested
2013-02-08 19:24:40,076 INFO:	request for non-existant page: favicon.ico
2013-02-08 19:24:40,316 INFO:	 processed
2013-02-08 19:24:40,346 INFO:	css requested
2013-02-08 19:24:40,441 INFO:	request for non-existant page: favicon.ico
2013-02-08 19:24:41,758 INFO:	 processed
2013-02-08 19:24:41,791 INFO:	css requested
